9571991,19980401,article,mesh,"Animals,Biotransformation,Carcinogens,Cell Death,Cell Separation,Cells, Cultured,Chloroform,Cytochrome P-450 Enzyme Inhibitors,Dithiothreitol,Glutathione,Imidazoles,Liver,Male,Mice,Oxidative Stress,Rats,Rats, Inbred F344,Solvents,Sulfhydryl Reagents","analysis,drug effects,pathology,pharmacology,toxicity","D008099 Q000187 NY,D008099 Q000473 NN,D007093 Q000494 NN,D002273 Q000633 NY,D016923 Q000187 NN,D002725 Q000633 NY,D012997 Q000633 NN,D005978 Q000032 NN","6212,19001,81595,124886,439196,446094",NULL,Chloroform-induced cytolethality in freshly isolated male B6C3F1 mouse and F-344 rat hepatocytes.,Chloroform is carcinogenic in rodents but is not mutagenic or DNA reactive. Chloroform-induced hepatocarcinogenesis in rodents is believed to be secondary to events associated with cytotoxicity and cell proliferation. Understanding the mechanisms of chloroform toxicity may provide insights into the mechanisms of carcinogenicity. The goal of these studies was to characterize the cytotoxicity of chloroform in male B6C3F1 mouse and F-344 rat hepatocytes in vitro. We used an in vitro suspension-culture system t,Toxicology and applied pharmacology,"P Ammann, C L Laethem, G L Kedderis"," Chemical Industry Institute of Toxicology, Research Triangle Park, North Carolina 27709-2137, USA.",1998 Apr;149(2):217-25,10.1006/taap.1997.8351
10527910,19991015,article,mesh,"Administration, Inhalation,Animals,Biotransformation,Carcinogens,Cell Division,Chloroform,Cytochrome P-450 CYP2E1,Cytochrome P-450 CYP2E1 Inhibitors,Immunohistochemistry,Kidney,Liver,Male,Mice,Mice, Inbred Strains,Mice, Knockout,Necrosis,Nose,Organ Size,Turbinates","administration &amp; dosage,drug effects,enzymology,genetics,metabolism,pathology,pharmacokinetics,toxicity","D014420 Q000187 NN,D008099 Q000187 NY,D008099 Q000473 NN,D008099 Q000201 NN,D007668 Q000201 NN,D007668 Q000473 NN,D014420 Q000473 NN,D007668 Q000187 NY,D002273 Q000633 NY,D002725 Q000633 NY,D009666 Q000187 NY,D014420 Q000201 NN,D019392 Q000235 NN,D019392 Q000378 NY,D002725 Q000493 NN,D002725 Q000008 NN",6212,NULL,"Metabolism of chloroform by cytochrome P450 2E1 is required for induction of toxicity in the liver, kidney, and nose of male mice.","Chloroform is a nongenotoxic-cytotoxic liver and kidney carcinogen and nasal toxicant in some strains and sexes of rodents. Substantial evidence indicates that tumor induction is secondary to events associated with cytolethality and regenerative cell proliferation. Therefore, pathways leading to toxicity, such as metabolic activation, become critical information in mechanism-based risk assessments. The purpose of this study was to determine the degree to which chloroform-induced cytotoxicity is dependent on",Toxicology and applied pharmacology,"A A Constan, C S Sprankle, J M Peters, G L Kedderis, J I Everitt, B A Wong, F L Gonzalez, B E Butterworth"," Chemical Industry Institute of Toxicology, Research Triangle Park, North Carolina, 27709-2137, USA.",1999 Oct;160(2):120-6,10.1006/taap.1999.8756
12805651,20030901,article,"xref,mesh","Administration, Inhalation,Animals,Carcinogens,Cell Death,Cell Division,Chloroform,Dose-Response Relationship, Drug,Female,Mice,Models, Biological","administration &amp; dosage,drug effects,pharmacokinetics,toxicity","D016923 Q000187 NY,D002455 Q000187 NN,D002273 Q000633 NY,D002725 Q000633 NY,D002725 Q000493 NN,D002273 Q000008 NN,D002273 Q000493 NN,D002725 Q000008 NN",6212,128047904,Biologically motivated computational modeling of chloroform cytolethality and regenerative cellular proliferation.,"Chloroform is a nongenotoxic-cytotoxic carcinogen in rodents. As such, events related to cytotoxicity are the driving force for cancer induction. In this paper we extended an existing physiologically based pharmacokinetic (PBPK) model for chloroform to describe a plausible mechanism linking the hepatic metabolism of chloroform to hepatocellular killing and regenerative proliferation. The key aspects of this mechanism are (1) the production of damage at a rate proportional to the rate of metabolism predicted",Toxicological sciences : an official journal of the Society of Toxicology,"Yu-Mei Tan, Byron E Butterworth, Michael L Gargas, Rory B Conolly"," CIIT Centers for Health Research, 6 Davis Drive, Research Triangle Park, North Carolina 27709, USA.",2003 Sep;75(1):192-200,10.1093/toxsci/kfg152
9585263,19980101,article,"xref,mesh","Administration, Inhalation,Administration, Oral,Animals,Chemical and Drug Induced Liver Injury,Chloroform,Dimethylnitrosamine,Dose-Response Relationship, Drug,Female,Lac Operon,Liver,Liver Diseases,Liver Neoplasms, Experimental,Liver Regeneration,Mice,Mice, Transgenic,Organ Size,Precancerous Conditions,Transgenes","chemically induced,drug effects,genetics,pathology,toxicity","D011230 Q000139 NN,D008099 Q000187 NY,D008099 Q000473 NN,D008107 Q000473 NN,D009929 Q000187 NN,D008107 Q000235 NN,D002725 Q000633 NY,D011230 Q000235 NN,D008114 Q000235 NN,D008114 Q000473 NN,D019076 Q000187 NY,D011230 Q000473 NN,D008114 Q000139 NY,D004128 Q000633 NY,D007763 Q000187 NY","6124,6212",53788066,Long-term mutagenicity studies with chloroform and dimethylnitrosamine in female lacI transgenic B6C3F1 mice.,"The weight of evidence indicates that chloroform induces cancer in the female B6C3F1 mouse liver via a nongenotoxic-cytotoxic mode of action. However, it is probable that DNA damage occurs secondary to events associated with cytolethality and regenerative cell proliferation. The purpose of the present study was to evaluate the potential mutagenic activity of chloroform in the B6C3F1 lacI transgenic mouse liver mutagenesis assay including mutagenic events that might occur secondary to cytolethality. The posi",Environmental and molecular mutagenesis,"B E Butterworth, M V Templin, A A Constan, C S Sprankle, B A Wong, L J Pluta, J I Everitt, L Recio"," Chemical Industry Institute of Toxicology, Research Triangle Park, North Carolina 27709, USA. butterworth@ciit.org",1998 Jan;31(3):248-56,10.1002/(sici)1098-2280(1998)31:3&lt;248::aid-em6&gt;3.0.co;2-g
10696771,20000201,article,mesh,"Adenoma,Administration, Oral,Animals,Carcinogenicity Tests,Carcinogens,Carcinoma,Chloroform,Drinking,Kidney Neoplasms,Kidney Tubules, Proximal,Male,Neoplasms, Experimental,Rats,Rats, Inbred Strains","chemically induced,drug effects,pathology,toxicity","D000236 Q000139 NY,D007687 Q000187 NY,D002273 Q000633 NY,D007687 Q000473 NN,D002725 Q000633 NY,D002277 Q000473 NN,D002277 Q000139 NY,D007680 Q000139 NY,D009374 Q000139 NY,D000236 Q000473 NN",6212,NULL,Re-evaluation of the 2-year chloroform drinking water carcinogenicity bioassay in Osborne-Mendel rats supports chronic renal tubule injury as the mode of action underlying the renal tumor response.,"Chloroform, generally regarded as a non-genotoxic compound, is associated with the induction of liver and/or kidney tumors in laboratory mice and rats. In particular, chloroform produced renal tubule tumors in low incidence in male Osborne-Mendel rats when administered by corn-oil gavage or in the drinking water. There is a lack of data on intermediate endpoints that may be linked to renal cancer development in this strain of rat, in contrast to mice. Specifically, evidence linking chloroform-induced liver ",Toxicological sciences : an official journal of the Society of Toxicology,"G C Hard, G A Boorman, D C Wolf"," American Health Foundation, Valhalla, New York 10595, USA. gordonhard@msn.com",2000 Feb;53(2):237-44,10.1093/toxsci/53.2.237
17966065,20071101,article,"xref,mesh","Acetylcysteine,Alanine Transaminase,Animals,Antioxidants,Cells, Cultured,Chloroform,Cyclosporine,Female,Glutathione,Hepatocytes,Membrane Potential, Mitochondrial,Mice,Mice, Inbred Strains,Mitochondria, Liver,Nitric Oxide Synthase,Oxidative Stress,Peroxynitrous Acid,Reactive Oxygen Species,Tyrosine","analogs &amp; derivatives,antagonists &amp; inhibitors,drug effects,metabolism,pharmacology,physiology,toxicity","D008930 Q000187 NY,D022781 Q000378 NN,D017382 Q000378 NN,D000111 Q000494 NN,D008930 Q000502 NN,D000975 Q000494 NN,D002725 Q000633 NY,D000410 Q000378 NN,D014443 Q000031 NN,D022781 Q000187 NY,D016572 Q000494 NN,D030421 Q000378 NN,D005978 Q000378 NN,D053078 Q000187 NN,D018384 Q000187 YN,D019001 Q000037 NN,D014443 Q000378 NN","602,1893,2909,4939,6057,6212,12035,62280,64944,65079,65124,123349,124886,235719,5280754,5284373,5458585,6435893,9834478,9855081,12114682,23678798,24883466,25246316,49867938,71306795,71463825,73896891,122172945,123134263,123134270,132274082","127823549,128047904,128865459,128977994,129046631,129192846,129467723,129888650,136096498,136242151",Mechanisms of chloroform-induced hepatotoxicity: oxidative stress and mitochondrial permeability transition in freshly isolated mouse hepatocytes.,"The role of mitochondrial permeability transition (MPT) and oxidative stress in chloroform toxicity was determined in freshly isolated female B6C3F1 mouse hepatocytes. Incubation of chloroform (12 mM) with hepatocytes resulted in cell death (alanine aminotransferase release and propidium iodide fluorescence). Chloroform had volatilized from the incubation and glutathione was depleted by 1 h; however, toxicity was not significantly different between control and chloroform-incubated cells. Hepatocytes were wa",Journal of toxicology and environmental health. Part A,"Angela S Burke, Kelly Redeker, Richard C Kurten, Laura P James, Jack A Hinson"," Department of Pharmacology and Toxicology, University of Arkansas for Medical Sciences, Little Rock, Arkansas 72205, USA.",2007 Nov;70(22):1936-45,10.1080/15287390701551399
25870144,20150101,article,mesh,"Animals,Atmosphere Exposure Chambers,Biomarkers,Carcinogens,Catalase,Chloroform,Female,Immunity, Innate,Immunity, Mucosal,Inhalation Exposure,Lipid Peroxidation,Male,Mice, Inbred C57BL,Oxidation-Reduction,Oxidative Stress,Pneumonia,Protein Carbonylation,Pulmonary Alveoli,Respiratory Mucosa,Sex Characteristics,Solvents,Toxicity Tests, Acute","chemically induced,drug effects,immunology,metabolism,pathology,toxicity","D011650 Q000276 NN,D011014 Q000378 NN,D011650 Q000378 NN,D011014 Q000473 NN,D011650 Q000473 NN,D011014 Q000276 NN,D002273 Q000633 NY,D012997 Q000633 NY,D018928 Q000187 NN,D011650 Q000187 NY,D020545 Q000276 NN,D002725 Q000633 NY,D015227 Q000187 NN,D020545 Q000187 NY,D018384 Q000187 NY,D020545 Q000378 NN,D020545 Q000473 NN,D007113 Q000187 NN,D050050 Q000187 NN,D015415 Q000378 NN,D011014 Q000139 NY,D002374 Q000378 NN",6212,NULL,Influence of sexual dimorphism on pulmonary inflammatory response in adult mice exposed to chloroform.,"Chloroform is an organic solvent used as an intermediate in the synthesis of various fluorocarbons. Despite its widespread use in industry and agriculture, exposure to chloroform can cause illnesses such as cancer, especially in the liver and kidneys. The aim of the study was to analyze the effects of chloroform on redox imbalance and pulmonary inflammatory response in adult C57BL/6 mice. Forty animals were divided into 4 groups (N = 10): female (FCG) and male (MCG) controls, and females (FEG) and males (ME",International journal of toxicology,"Túlio Henrique Versiani de Oliveira, Keila Karine Duarte Campos, Nícia Pedreira Soares, Karina Braga Pena, Wanderson Geraldo Lima, Frank Silva Bezerra"," Graduating in Medicine, School of Medicine, Federal University of Ouro Preto (UFOP), Ouro Preto, Minas Gerais, Brazil. Department of Biological Sciences (DECBI), Laboratory of Metabolic Biochemistry (LBM), Center of Research in Biological Sciences (NUPEB), Federal University of Ouro Preto (UFOP), Ouro Preto, Minas Gerais, Brazil. Department of Biological Sciences (DECBI), Laboratory of Metabolic Biochemistry (LBM), Center of Research in Biological Sciences (NUPEB), Federal University of Ouro Preto (UFOP), ",2015 Jan;34(3):250-7,10.1177/1091581815580172
7867905,19941101,article,mesh,"Animals,Bromodeoxyuridine,Cell Death,Cell Division,Chloroform,Intubation, Gastrointestinal,Kidney,Kidney Neoplasms,Liver,Liver Neoplasms, Experimental,Male,Mice,Mice, Inbred Strains","analysis,chemically induced,cytology,drug effects,toxicity","D001973 Q000032 NN,D007668 Q000166 NN,D008099 Q000187 NY,D002455 Q000187 NN,D007668 Q000187 NY,D016923 Q000187 NN,D002725 Q000633 NY,D008099 Q000166 NN,D007680 Q000139 NY,D008114 Q000139 NY","6035,6212",NULL,Induced cytolethality and regenerative cell proliferation in the livers and kidneys of male B6C3F1 mice given chloroform by gavage.,"It has been reported that chloroform administered to male B6C3F1 mice at doses of 138 and 277 mg/kg/day in corn oil by gavage 5 days/week for 2 years resulted in incidences of hepatocellular carcinomas of 36 and 98% relative to an incidence in controls of 6%. Cytotoxicity and regenerative cell proliferation have been implicated in the tumorigenic process for this non-genotoxic compound. Although chloroform is known to be nephrotoxic in the male mouse, no treatment-related increase was observed in the freque",Fundamental and applied toxicology : official journal of the Society of Toxicology,"J L Larson, D C Wolf, B E Butterworth"," Chemical Industry Institute of Toxicology, Research Triangle Park, North Carolina 27709.",1994 Nov;23(4):537-43,10.1006/faat.1994.1138
11896286,20020401,article,"xref,mesh","Administration, Inhalation,Animals,Carcinogens,Cell Death,Chloroform,Dose-Response Relationship, Drug,Female,Liver,Mice,Mice, Inbred Strains,Models, Biological,Organ Size,Solvents,Time Factors","drug effects,pathology,toxicity","D008099 Q000187 NY,D008099 Q000473 NN,D009929 Q000187 NN,D002273 Q000633 NY,D016923 Q000187 NN,D012997 Q000633 NY,D002725 Q000633 NY","6212,6918942","128047904,136216744",Chloroform inhalation exposure conditions necessary to initiate liver toxicity in female B6C3F1 mice.,"Chloroform is a nongenotoxic-cytotoxic carcinogen in rodent liver and kidney, including the female B6C3F1 mouse liver. Because tumors are secondary to events associated with cytolethality and regenerative cell proliferation, these end points are valid surrogates for tumor formation in cancer risk assessments. The purpose of the experiments presented here was to more clearly define the combinations of atmospheric concentration and duration of exposure necessary to induce cytolethality and regenerative cell p",Toxicological sciences : an official journal of the Society of Toxicology,"Alexander A Constan, Brian A Wong, Jeffrey I Everitt, Byron E Butterworth"," CIIT Centers for Health Research, 6 Davis Drive, P.O. Box 12137, Research Triangle Park, North Carolina 27709-2137, USA.",2002 Apr;66(2):201-8,10.1093/toxsci/66.2.201
16025433,20050101,article,"xref,mesh","Animals,Apoptosis,Cell Line,Cell Survival,Chloroform,Glucose,Hepatocytes,Kinetics,Lactic Acid,Membrane Potentials,Mice,Mitochondria, Liver,Rhodamine 123","drug effects,metabolism,physiology,toxicity","D017209 Q000187 NN,D022781 Q000378 NN,D002470 Q000187 NN,D008930 Q000378 NY,D002725 Q000633 NY,D022781 Q000187 NY,D005947 Q000378 NN,D008564 Q000502 NY,D019344 Q000378 NN,D008930 Q000187 NN","612,5793,6212,6371,24749,61503,62358,65217,65218,91435,107526,107689,4541001,9929799,10954115,87517085","128047904,128334455,129621433,129794333",Reduced mitochondrial membrane potential and metabolism correspond to acute chloroform toxicity of in vitro hepatocytes.,"Chloroform is a non-genotoxic compound that is present in drinking water and ambient air as a result of water chlorination but whose carcinogenic mechanism in humans is unknown. Chloroform targets the liver in humans, where cytochrome P-450-dependent biotransformation to phosgene results in mitochondrial damage and cell death. The purpose of this study is to investigate the relationship between cell death, loss of mitochondrial membrane potential (MMP) and reduction of metabolic rates for in vitro cultured ",Journal of applied toxicology : JAT,"Sean Hartig, Serena Fries, R Robert Balcarcel"," Vanderbilt University, Department of Chemical Engineering, VU Station B, Box 351604, 2301 Vanderbilt Place, Nashville, TN 37235-1604, USA.",2005 Jan;25(4):310-7,10.1002/jat.1067
8597058,19951201,review,mesh,"Animals,Cell Division,Chloroform,DNA,Female,Humans,Mice,Neoplasms,Rats,Risk Assessment","chemically induced,drug effects,toxicity","D009369 Q000139 NY,D004247 Q000187 NN,D002725 Q000633 NY,D002455 Q000187 NY","6212,44135672",NULL,The role of regenerative cell proliferation in chloroform-induced cancer.,"Chloroform produces cancer by a nongenotoxic-cytotoxic mode of action, with no increased cancer risk expected at noncytotoxic doses. The default risk assessment for inhaled chloroform relies on liver tumor incidence from a gavage study with female B6C3F1 mice and estimates a virtually safe dose (VSD) at an airborne concentration of 0.000008 ppm of chloroform. In contrast, a 1000-fold safety factor applied to the NOAEL for liver cytotoxicity from inhalation studies yields a VSD of 0.01 ppm. This estimate rel",Toxicology letters,"B E Butterworth, M V Templin, S J Borghoff, R B Conolly, G L Kedderis, D C Wolf"," Chemical Industry Institute of Toxicology, Research Triangle Park, NC 27709, USA.",1995 Dec;?(?):23-6,10.1016/0378-4274(95)03543-5
18093051,20071201,article,"xref,mesh","Animals,Bayes Theorem,Biological Transport, Active,Carcinogens,Chloroform,Environmental Exposure,Female,Humans,Kidney,Liver,Male,Markov Chains,Mice,Models, Biological,Monte Carlo Method,Neoplasms,Neoplasms, Experimental,Rats,Rats, Inbred F344,Risk Assessment","chemically induced,metabolism,pharmacokinetics,pharmacology,toxicity","D007668 Q000378 NN,D002273 Q000633 NY,D002725 Q000494 NN,D009369 Q000139 NN,D002725 Q000633 NY,D008099 Q000378 NN,D002725 Q000493 NY,D002273 Q000494 NN,D009374 Q000378 NN,D002273 Q000493 NN,D009374 Q000139 NY",6212,128047904,Bayesian estimation of pharmacokinetic and pharmacodynamic parameters in a mode-of-action-based cancer risk assessment for chloroform.,"Chloroform is a carcinogen in rodents and its carcinogenicity is secondary to events associated with cytotoxicity and regenerative cell proliferation. In this study, a physiologically based pharmacokinetic/pharmacodynamic (PBPK/PD) model that links the processes of chloroform metabolism, reparable cell damage, cell death, and regenerative cellular proliferation was developed to support a new cancer dose-response assessment for chloroform. Model parameters were estimated using Markov Chain Monte Carlo (MCMC)",Risk analysis : an official publication of the Society for Risk Analysis,"Kai H Liao, Yu-Mei Tan, Rory B Conolly, Susan J Borghoff, Michael L Gargas, Melvin E Andersen, Harvey J Clewell"," Center for Human Health Assessment, The Hamner Institutes for Health Sciences, Research Triangle Park, NC 27709, USA.",2007 Dec;27(6):1535-51,10.1111/j.1539-6924.2007.00987.x
9779413,19980801,article,mesh,"Administration, Oral,Animals,Carcinogens,Cell Division,Chloroform,DNA Replication,Dose-Response Relationship, Drug,Epithelial Cells,Kidney Tubules,Liver,Male,Rats,Rats, Inbred F344,Solvents","administration &amp; dosage,cytology,drug effects,toxicity","D008099 Q000187 NY,D002455 Q000187 NN,D004261 Q000187 NN,D007684 Q000166 NN,D004847 Q000166 NN,D002273 Q000633 NY,D012997 Q000633 NY,D002725 Q000633 NY,D012997 Q000008 NN,D007684 Q000187 NY,D008099 Q000166 NN,D002273 Q000008 NN,D002725 Q000008 NN",6212,NULL,Occurrence of toxicity and cell proliferation after a single gavage administration of chloroform to male F344 rats.,"Chloroform, an industrial solvent and one of the most common environmental contaminants which produces carcinogenic effects in the liver and kidney of rodents, is not genotoxic in most traditional bacterial and mammalian test systems. Its carcinogenic potential appears attributable to the sustained cell turnover (regenerative hyperplasia) which results from chronic chloroform toxicity. In this present study, cell proliferation (replicative DNA synthesis, RDS) and histopathological changes in hepatocytes and",The Journal of toxicological sciences,"M Miyagawa, O Katsuta, T Chida, N Toyota, M Tsuchitani, K Yoshikawa, O Fujii"," Kashima Laboratory, Mitsubishi Chemical Safety Institute Ltd., Ibaraki, Japan.",1998 Aug;23(3):205-11,10.2131/jts.23.3_205
17077622,20061101,article,"xref,mesh","Animals,Chloroform,Dimethyl Sulfoxide,Disease Models, Animal,Dose-Response Relationship, Drug,Edema,Fever,Inflammation,Male,Mice,Mice, Inbred BALB C,Pain,Phytotherapy,Plant Extracts,Plant Leaves,Plants, Medicinal,Rats,Rats, Sprague-Dawley,Solutions","chemistry,drug therapy,isolation &amp; purification,therapeutic use","D010946 Q000737 NY,D005334 Q000188 NY,D010146 Q000188 NY,D010936 Q000302 NN,D010936 Q000627 NN,D018515 Q000737 NY,D007249 Q000188 NY,D004487 Q000188 NY","679,6212","128047904,128141778",Antinociceptive and anti-inflammatory activities of Dicranopteris linearis leaves chloroform extract in experimental animals.,"The present study was carried out to establish the antinociceptive and anti-inflammatory properties of Dicranopteris linearis leaves chloroform extract in experimental animals. The antinociceptive activity was measured using the abdominal constriction, formalin and hot plate tests, while the anti-inflammatory activity was measured using the carrageenan-induced paw edema. The extract, obtained after 72 h soaking of the air-dried leaves in chloroform followed by evaporation under vacuo (40 degrees C) to dryne",Yakugaku zasshi : Journal of the Pharmaceutical Society of Japan,"Zainul Amiruddin Zakaria, Zuleen Delina Fasya Abdul Ghani, Raden Nur Suraya Raden Mohd Nor, Hanan Kumar Gopalan, Mohd Roslan Sulaiman, Fatimah Corazon Abdullah"," Faculty of Biotechnology and Life Sciences, Universiti Industri Selangor, Jalan Zirkon A7/A, Seksyen 7, 40000 Shah Alam, Selangor, Malaysia. shaza8174@yahoo.com",2006 Nov;126(11):1197-203,10.1248/yakushi.126.1197
19967186,20091101,article,"xref,mesh","Animals,Celastraceae,Cells, Cultured,Chloroform,Dose-Response Relationship, Drug,Mice,Mutagenicity Tests,Plant Extracts,Rats,Rats, Wistar","chemistry,isolation &amp; purification,methods,toxicity","D010936 Q000302 NN,D029753 Q000737 NY,D002725 Q000633 NY,D009152 Q000379 NN,D010936 Q000633 NY,D002725 Q000302 NN",6212,128047904,Evaluation of the genotoxic potential of Austroplenckia populnea (Reiss) Lundell chloroform fraction from barkwood extract in rodent cells in vivo.,"The genotoxic effect of the Austroplenckia populnea chloroform fraction from barkwood extract was tested in vivo on peripheral blood cells of Swiss mice with the comet assay (SCGE), and the clastogenic effect was investigated on peripheral blood cells of Swiss mice and bone marrow cells of Wistar rats, with the micronucleus and chromosome aberrations tests. The animals were treated by gavage with 3 concentrations of the extract: 300, 600 and 900 mg.kg-1. Peripheral blood cells of Swiss mice were collected 4",Brazilian journal of biology = Revista brasleira de biologia,"J C Ribeiro, S F Andrade, J K Bastos, E L Maistro"," Universidade José do Rosário Vellano-UNIFENAS, Alfenas, MG, Brazil.",2009 Nov;69(4):1141-7,10.1590/s1519-69842009000500019
20150224,20100301,article,"xref,mesh","Antineoplastic Agents, Phytogenic,Apoptosis,Breast Neoplasms,Carcinoma,Caspase 3,Chloroform,Drug Evaluation, Preclinical,Drugs, Chinese Herbal,Female,Gene Expression Regulation, Neoplastic,Humans,Physalis,Proto-Oncogene Proteins c-myc,Signal Transduction,Tumor Cells, Cultured,Tumor Suppressor Protein p53","chemistry,drug effects,genetics,metabolism,pathology,pharmacology,physiology","D002277 Q000378 NN,D017209 Q000187 NY,D001943 Q000473 NY,D015972 Q000187 NN,D016271 Q000502 NY,D053148 Q000502 NY,D017209 Q000235 NN,D002725 Q000737 NN,D004365 Q000494 NY,D002725 Q000494 NN,D016271 Q000235 NN,D001943 Q000378 NN,D016159 Q000235 NN,D002277 Q000473 NY,D032321 Q000737 YN,D053148 Q000378 NN,D015398 Q000187 NN,D000972 Q000494 NN,D001943 Q000235 NN,D002277 Q000235 NN,D016159 Q000502 NY,D015398 Q000502 NN","4939,6212,6323481","128047904,129888650,245283296","Apoptotic effects of Physalis minima L. chloroform extract in human breast carcinoma T-47D cells mediated by c-myc-, p53-, and caspase-3-dependent pathways.","The chloroform extract of Physalis minima produced a significant growth inhibition against human T-47D breast carcinoma cells as compared with other extracts with an EC(50) value of 3.8 microg/mL. An analysis of cell death mechanisms indicated that the extract elicited an apoptotic cell death. mRNA expression analysis revealed the coregulation of apoptotic genes, that is, c-myc , p53, and caspase-3. The c-myc was significantly induced by the chloroform extract at the earlier phase of treatment, followed by ",Integrative cancer therapies,"Kheng Leong Ooi, Tengku Sifzizul Tengku Muhammad, Chui Hun Lim, Shaida Fariza Sulaiman"," School of Biological Sciences, Universiti Sains Malaysia, Penang, Malaysia.",2010 Mar;9(1):73-83,10.1177/1534735409356443
29148923,20180128,article,mesh,"Chloroform,DNA Damage,DNA, Bacterial,Disinfectants,Drinking Water,Mutagenicity Tests,Mutagens,Salmonella typhimurium,Trihalomethanes","chemistry,drug effects,genetics,toxicity","D060766 Q000737 NY,D004202 Q000633 NY,D002725 Q000633 NY,D012486 Q000235 NY,D004249 Q000187 NN,D022882 Q000633 NN,D004269 Q000235 NN,D012486 Q000187 NN,D009153 Q000633 NN","5558,6212",NULL,Ames and random amplified polymorphic DNA tests for the validation of the mutagenic and/or genotoxic potential of the drinking water disinfection by-products chloroform and bromoform.,"Chloroform and Bromoform are two abundant trihalomethanes found in Algerian drinking water. The investigation of the mutagenic hazard of these disinfection by-products was studied by Ames test as prokaryotic bioassay to show their mutagenic effects. For this, Salmonella typhimurium TA98 and TA100 strains were employed. Both chloroform and bromoform showed a direct mutagenic effect since the number of revertant colonies gradually increase in dose-dependent manner with all concentrations tested with the two b","Journal of environmental science and health. Part A, Toxic/hazardous substances & environmental engineering","Messaouda Khallef, Süleyman Cenkci, Dilek Akyil, Arzu Özkara, Muhsin Konuk, Djamel Eddine Benouareth"," a Department of Biology , Faculty of Natural Sciences and Life, Earth and the Universe , 8May1945University, Guelma , Algeria. b Department of Biology , Faculty of Arts and Sciences, Afyon Kocatepe University , Afyonkarahisar , Turkey. b Department of Biology , Faculty of Arts and Sciences, Afyon Kocatepe University , Afyonkarahisar , Turkey. b Department of Biology , Faculty of Arts and Sciences, Afyon Kocatepe University , Afyonkarahisar , Turkey. c Department of Molecular Biology and Genetics , Faculty ",2018 Jan;53(2):154-159,10.1080/10934529.2017.1383134
7891348,19950301,article,mesh,"Acetates,Adult,B-Lymphocytes,Chloroform,Diterpenes,Drugs, Chinese Herbal,Epoxy Compounds,Humans,Immunosuppressive Agents,In Vitro Techniques,Lymphocyte Activation,Methanol,Monocytes,Phenanthrenes,Plant Extracts,T-Lymphocytes,Tripterygium","chemistry,drug effects,pharmacology","D009000 Q000187 NN,D007166 Q000737 NY,D001402 Q000187 NN,D010936 Q000737 NY,D004365 Q000737 NY,D008213 Q000187 NN,D004224 Q000737 NY,D013601 Q000187 NN,D004224 Q000494 NY","887,6212,8857,107985,10942334",NULL,The identity of immunosuppressive components of the ethyl acetate extract and chloroform methanol extract (T2) of Tripterygium wilfordii Hook. F.,"A variety of preparations of Tripterygium wilfordii Hook.F (TWHF) have been reported to be effective in the treatment of autoimmune diseases, including a chloroform methanol extract termed T2 and an ethyl acetate (EA) extract. The immunosuppressive activity of the EA extract was analyzed and the components accounting for this effect determined and compared to those of T2. More than 0.25 microgram/ml of the EA extract inhibited antigen- and mitogen-stimulated human T cell proliferation. The inhibitory effect",The Journal of pharmacology and experimental therapeutics,"X Tao, J J Cai, P E Lipsky"," Harold C. Simmons Arthritis Research Center, University of Texas Southwestern Medical Center, Dallas.",1995 Mar;272(3):1305-12,NULL
12699900,20030503,article,"xref,mesh","Animals,Buthionine Sulfoximine,Carbon Tetrachloride,Cell Line,Chloroform,DNA Adducts,DNA Damage,Dose-Response Relationship, Drug,Female,Glutathione,Hepatocytes,Humans,Lipid Peroxidation,Models, Biological,Mutagens,Oxidative Stress,Rats,Rats, Wistar,Reactive Oxygen Species","analysis,chemistry,drug effects,metabolism,pharmacology,toxicity","D002251 Q000633 NY,D022781 Q000378 NN,D018736 Q000378 NN,D017382 Q000378 NN,D002725 Q000633 NY,D015227 Q000187 NN,D018736 Q000737 NN,D004249 Q000187 NN,D022781 Q000187 NY,D009153 Q000633 NY,D019328 Q000494 NN,D005978 Q000032 NN,D005978 Q000378 NY","612,5943,6212,21157,73318,124886,53835814,53835817,135440064","127946756,127946759,128039096,128047904,128334455,129192846,129548391","Chloroform, carbon tetrachloride and glutathione depletion induce secondary genotoxicity in liver cells via oxidative stress.","Chemical carcinogens are generally classified as genotoxic or non-genotoxic. However, weak genotoxicity at high concentrations is sometimes observed and interpretation is often problematic. In addition, certain rodent carcinogens exert their effects at doses associated with cytotoxicity and compensatory hyperplasia may be a contributing factor to tumourogenesis. We hypothesise that certain substances, at high concentrations, can induce an oxidative stress via the depletion of glutathione (GSH) and other ant",Toxicology,"Emma J Beddowes, Stephen P Faux, J Kevin Chipman"," School of Biosciences, University of Birmingham, Edgbaston, UK.",2003 May;187(?):101-15,10.1016/s0300-483x(03)00058-1
