17655273,20070901,article,"xref,mesh","Acrolein,Amino Acid Sequence,Binding Sites,Enzyme Activation,Humans,Kinetics,Molecular Sequence Data,Protein Tyrosine Phosphatase, Non-Receptor Type 1,Spectrometry, Mass, Electrospray Ionization,Structure-Activity Relationship,Time Factors",chemistry,"D054562 Q000737 NY,D000171 Q000737 NY","177,527,5862,6057,7847,7860,20138,30819,61020,61671,54499104","53789692,53790718,127716469,128056944,128180287,128478271,128614243,128676645,128865459,129225032,129742316,129770500",Kinetics and mechanism of protein tyrosine phosphatase 1B inactivation by acrolein.,"Human cells are exposed to the electrophilic alpha,beta-unsaturated aldehyde acrolein from a variety of sources. The reaction of acrolein with functionally critical protein thiol residues can yield important biological consequences. Protein tyrosine phosphatases (PTPs) are an important class of cysteine-dependent enzymes whose reactivity with acrolein previously has not been well-characterized. These enzymes catalyze the dephosphorylation of phosphotyrosine residues on proteins via a phosphocysteine interme",Chemical research in toxicology,"Derrick R Seiner, Jason N LaButti, Kent S Gates"," Department of Chemistry, University of Missouri, Columbia, MO 65211, USA. gatesk@missouri.edu",2007 Sep;20(9):1315-20,10.1021/tx700213s
20678513,20101015,article,"xref,mesh","Acrolein,Air Pollutants,Animals,Blood Coagulation,Blood Platelets,Fibrinogen,Inhalation Exposure,Male,Mice,Mice, Inbred C57BL,Oxidative Stress,Platelet Activation,Platelet Aggregation,Tobacco Smoke Pollution","drug effects,metabolism,toxicity","D018384 Q000187 NN,D001777 Q000187 NN,D001792 Q000378 NN,D010974 Q000187 NN,D000393 Q000633 NY,D000171 Q000633 NY,D005340 Q000378 NN,D001792 Q000187 NY,D015539 Q000187 NY",7847,"53788248,53790718,128056944",Exposure to acrolein by inhalation causes platelet activation.,"Acrolein is a common air pollutant that is present in high concentrations in wood, cotton, and tobacco smoke, automobile exhaust and industrial waste and emissions. Exposure to acrolein containing environmental pollutants such as tobacco smoke and automobile exhaust has been linked to the activation of the coagulation and hemostasis pathways and thereby to the predisposition of thrombotic events in human. To examine the effects of acrolein on platelets, adult male C57Bl/6 mice were subjected acute (5ppm for",Toxicology and applied pharmacology,"Srinivas D Sithu, Sanjay Srivastava, Maqsood A Siddiqui, Elena Vladykovskaya, Daniel W Riggs, Daniel J Conklin, Petra Haberzettl, Timothy E O'Toole, Aruni Bhatnagar, Stanley E D'Souza"," Department of Physiology and Biophysics, University of Louisville, Louisville, KY 40202, USA.",2010 Oct;248(2):100-10,10.1016/j.taap.2010.07.013
23026831,20121115,article,"xref,mesh","Acrolein,Adenosine Triphosphate,Antioxidants,Caspase Inhibitors,Caspases,Cell Death,Cell Line, Tumor,Cell Survival,Endoplasmic Reticulum Stress,Hepatocytes,Humans,Indicators and Reagents,MAP Kinase Kinase 4,Mitochondria, Liver,Oxidative Stress,Permeability,Phosphotransferases","antagonists &amp; inhibitors,drug effects,metabolism,pharmacology,toxicity","D008930 Q000187 NY,D002470 Q000187 NN,D010770 Q000378 NN,D059865 Q000187 NY,D010539 Q000187 NN,D000975 Q000378 NN,D000255 Q000378 NN,D016923 Q000187 NN,D008930 Q000378 NY,D048670 Q000037 NN,D018384 Q000187 NY,D022781 Q000187 NY,D020169 Q000378 NN,D000171 Q000633 NY,D000171 Q000037 NN,D061945 Q000494 NN","4775,5957,7847,12035,15126,124341,124886,5461108,18666496,71366967,129660564","127350601,128056944,128784833,128977994,129192846","Acrolein cytotoxicity in hepatocytes involves endoplasmic reticulum stress, mitochondrial dysfunction and oxidative stress.","Acrolein is a common environmental, food and water pollutant and a major component of cigarette smoke. Also, it is produced endogenously via lipid peroxidation and cellular metabolism of certain amino acids and drugs. Acrolein is cytotoxic to many cell types including hepatocytes; however the mechanisms are not fully understood. We examined the molecular mechanisms underlying acrolein hepatotoxicity in primary human hepatocytes and hepatoma cells. Acrolein, at pathophysiological concentrations, caused a dos",Toxicology and applied pharmacology,"Mohammad K Mohammad, Diana Avila, Jingwen Zhang, Shirish Barve, Gavin Arteel, Craig McClain, Swati Joshi-Barve"," Department of Medicine, University of Louisville, USA; Alcohol Research Center, University of Louisville, USA.",2012 Nov;265(1):73-82,10.1016/j.taap.2012.09.021
26832697,20150901,article,mesh,"Acrolein,Animals,Bronchoalveolar Lavage Fluid,Cytokines,Forkhead Transcription Factors,Inflammation,Male,Rats,Rats, Wistar,T-Lymphocytes, Regulatory,Th17 Cells","cytology,metabolism,toxicity","D058504 Q000166 NY,D001992 Q000166 NN,D016207 Q000378 NN,D007249 Q000378 NY,D051858 Q000378 NN,D050378 Q000166 NY,D000171 Q000633 NY",7847,NULL,[Changes of CD(4)(+) Foxp3+ regulatory T cells and CD(4)(+)IL-17+T cells in acrolein exposure rats].,"OBJECTIVE: To evaluate the changes of CD(4)(+) IL-17+T (Th17) and CD(4)(+)Foxp3+regulatory T (Treg) cells in peripheral blood and bronchoalveolar lavage fluid (BALF) , and therefore to explore the role of Th17 and Treg in acrolein exposure airway inflammation in rats. METHODS: Forty male Wistar rats were randomly divided into 4 groups: a 2 wk acrolein exposure group, a 4 wk acrolein exposure group, a 2 wk control group and a 4 wk control group (n=10 each). Cells in BALF were collected and analyzed by absolu",Zhonghua lao dong wei sheng zhi ye bing za zhi = Zhonghua laodong weisheng zhiyebing zazhi = Chinese journal of industrial hygiene and occupational diseases,"Ming Wei, Ling Tu, Yinghong Liang, Jia Li, Yanjie Gong, Yihua Zhang, Lu Yang"," Department of Clinical Laboratory, The fifth Affiliated Hospital of Zhengzhou University, Zhengzhou 450052, China. Department of Clinical Laboratory, The fifth Affiliated Hospital of Zhengzhou University, Zhengzhou 450052, China; E-mail: tuling@126.com. Department of Clinical Laboratory, The fifth Affiliated Hospital of Zhengzhou University, Zhengzhou 450052, China. Department of Clinical Laboratory, The fifth Affiliated Hospital of Zhengzhou University, Zhengzhou 450052, China. Department of Clinical Labo",2015 Sep;33(9):652-7,NULL
17069868,20061215,article,"xref,mesh","Acrolein,Animals,Apamin,Biological Factors,Blood Vessels,Drug Interactions,Endothelium, Vascular,Environmental Pollutants,Male,Mesentery,Mice,Mice, Inbred C57BL,Mice, Knockout,Nitric Oxide Synthase Type III,Potassium Channel Blockers,Potassium Channels,Pyrazoles,Rats,Rats, Sprague-Dawley,Vasodilation","blood supply,deficiency,drug effects,genetics,metabolism,pharmacology,toxicity","D015221 Q000187 NN,D052250 Q000172 NN,D001685 Q000378 NY,D015221 Q000378 NN,D011720 Q000494 NN,D004730 Q000187 NN,D001808 Q000378 NN,D001808 Q000187 NY,D014664 Q000187 NY,D008643 Q000098 NY,D004785 Q000633 NY,D008643 Q000187 NN,D004730 Q000378 NN,D026902 Q000494 NN,D052250 Q000235 NN,D000171 Q000633 NY,D001030 Q000494 NN","527,5395,7847,10460,16028,156288,656734,16133797,44134548,53741002,57043712,129012198,134812773","127670457,127680102,127809238,128056944,128570308,128592556,128676645,135844938,243645457",Acrolein induces vasodilatation of rodent mesenteric bed via an EDHF-dependent mechanism.,"Acrolein is generated endogenously during lipid peroxidation and inflammation and is an environmental pollutant. Protein adducts of acrolein are detected in atherosclerotic plaques and neurons of patients with Alzheimer's disease. To understand vascular effects of acrolein exposure, we studied acrolein vasoreactivity in perfused rodent mesenteric bed. Acrolein induced endothelium-dependent vasodilatation that was more robust and more sensitive than dilation induced by 4-hydroxy-trans-2-nonenal, trans-2-hexe",Toxicology and applied pharmacology,"S O Awe, A S O Adeagbo, S E D'Souza, A Bhatnagar, D J Conklin"," Institute of Molecular Cardiology, Department of Medicine, University of Louisville, Louisville, KY 40202, USA.",2006 Dec;217(3):266-76,10.1016/j.taap.2006.08.008
19596284,20091007,article,"xref,mesh","Acrolein,Apoptosis,Caspases,Cell Line,Flow Cytometry,Humans,Mitochondria,Oxidative Stress,Phosphorylation,Proto-Oncogene Proteins c-akt,Reactive Oxygen Species,Spectrometry, Fluorescence","drug effects,enzymology,metabolism,toxicity","D008928 Q000187 NY,D017209 Q000187 NY,D008928 Q000201 NN,D017382 Q000378 NN,D018384 Q000187 NY,D008928 Q000378 NN,D020169 Q000378 NN,D000171 Q000633 NY,D051057 Q000378 NN","1060,3973,7847,312145,6323481","53789644,53789920,53790718,85286149,128056944,128470468,245283296,376229535",Acrolein induces a cellular stress response and triggers mitochondrial apoptosis in A549 cells.,"Acrolein is a highly reactive, alpha,beta-unsaturated aldehyde that is an omnipresent environmental pollutant. Humans are exposed to acrolein in food, vapors of overheated cooking oil, cigarette smoke and by combustion of organic products. Acrolein is a toxic by-product of lipid peroxidation resulting from oxidative stress, which is implicated in pulmonary, cardiac and neurodegenerative diseases. Low dose exposure to toxic compounds often leads to adaptive responses. If the adaptive response does not counte",Chemico-biological interactions,"Julie Roy, Pragathi Pallepati, Ahmed Bettaieb, André Tanel, Diana A Averill-Bates"," Département des sciences biologiques, TOXEN, Université du Québec à Montréal, Succursale Centre Ville, Canada.",2009 Oct;181(2):154-67,10.1016/j.cbi.2009.07.001
21371710,20110401,article,"xref,mesh","Acrolein,Administration, Oral,Animals,Apolipoproteins E,Atherosclerosis,Cholesterol,Diet,Endothelium, Vascular,Humans,Male,Mice,Mice, Knockout,Platelet Factor 4","administration &amp; dosage,blood,chemically induced,deficiency,drug effects,pathology,pharmacology","D001057 Q000172 NY,D050197 Q000139 NN,D004730 Q000187 NN,D000171 Q000494 NY,D000171 Q000008 NN,D010978 Q000097 NN,D050197 Q000473 NY","304,5997,7847,5283629","127350601,128056944,128121087",Oral exposure to acrolein exacerbates atherosclerosis in apoE-null mice.,"BACKGROUND: Acrolein is a dietary aldehyde that is present in high concentrations in alcoholic beverages and foods including cheese, donuts and coffee. It is also abundant in tobacco smoke, automobile exhaust and industrial waste and is generated in vivo during inflammation and oxidative stress. OBJECTIVES: The goal of this study was to examine the effects of dietary acrolein on atherosclerosis. METHODS: Eight-week-old male apoE-null mice were gavage-fed acrolein (2.5mg/kg/day) for 8 weeks. Atherosclerotic ",Atherosclerosis,"Sanjay Srivastava, Srinivas D Sithu, Elena Vladykovskaya, Petra Haberzettl, David J Hoetker, Maqsood A Siddiqui, Daniel J Conklin, Stanley E D'Souza, Aruni Bhatnagar"," Diabetes and Obesity Center, University of Louisville, Louisville, KY 40202, USA. sanjay@louisville.edu",2011 Apr;215(2):301-8,10.1016/j.atherosclerosis.2011.01.001
24024160,20130101,article,mesh,"Acrolein,Alkylation,Cells, Cultured,Epithelial Cells,Gene Knockdown Techniques,Humans,MAP Kinase Signaling System,Selenious Acid,Smoking,Thioredoxin Reductase 1,Thioredoxins","drug effects,genetics,metabolism,pharmacology,toxicity","D004847 Q000187 NN,D000478 Q000187 NN,D054481 Q000235 NN,D020935 Q000187 NY,D013879 Q000378 NY,D013879 Q000235 NN,D000171 Q000633 NY,D054481 Q000378 NY,D020887 Q000494 NN","1090,1091,7847",NULL,Acrolein-induced activation of mitogen-activated protein kinase signaling is mediated by alkylation of thioredoxin reductase and thioredoxin 1.,"Cigarette smoking remains a major health concern worldwide, and many of the adverse effects of cigarette smoke (CS) can be attributed to its abundant electrophilic aldehydes, such as acrolein (2-propenal). Previous studies indicate that acrolein readily reacts with thioredoxin reductase 1 (TrxR1), a critical enzyme involved in regulation of thioredoxin (Trx)-mediated redox signaling, by alkylation at its selenocysteine (Sec) residue. Because alkylation of Sec within TrxR1 has significant implications for it",Redox biology,"Matthew J Randall, Page C Spiess, Milena Hristova, Robert J Hondal, Albert van der Vliet"," Department of Pathology, College of Medicine, University of Vermont, Burlington, VT 05405, USA.",2013 Jan;1(1):265-75,10.1016/j.redox.2013.02.001
24747221,20140901,article,mesh,"Acrolein,Cells, Cultured,Cellular Senescence,Cyclin-Dependent Kinase Inhibitor p21,DNA Repair,Down-Regulation,Environmental Pollutants,Exodeoxyribonucleases,Fibroblasts,Humans,Lung,RecQ Helicases,Telomere,Tumor Suppressor Protein p53,Werner Syndrome Helicase,beta-Galactosidase","cytology,drug effects,metabolism,toxicity","D016615 Q000187 NY,D016922 Q000187 NY,D005090 Q000378 NY,D050759 Q000378 NN,D001616 Q000378 NN,D004785 Q000633 NY,D004260 Q000187 NN,D016159 Q000378 NN,D005347 Q000187 NY,D008168 Q000166 NN,D000171 Q000633 NY,D053484 Q000378 NY,D008168 Q000378 NN,D016615 Q000378 NN",7847,NULL,"Acrolein-exposed normal human lung fibroblasts in vitro: cellular senescence, enhanced telomere erosion, and degradation of Werner's syndrome protein.","BACKGROUND: Acrolein is a ubiquitous environmental hazard to human health. Acrolein has been reported to activate the DNA damage response and induce apoptosis. However, little is known about the effects of acrolein on cellular senescence. OBJECTIVES: We examined whether acrolein induces cellular senescence in cultured normal human lung fibroblasts (NHLF). METHODS: We cultured NHLF in the presence or absence of acrolein and determined the effects of acrolein on cell proliferative capacity, senescence-associa",Environmental health perspectives,"Jun-Ho Jang, Shannon Bruse, Salam Huneidi, Ronald M Schrader, Martha M Monick, Yong Lin, A Brent Carter, Aloysius J Klingelhutz, Toru Nyunoya"," Division of Pulmonary, Critical Care and Sleep Medicine, Department of Internal Medicine, University of New Mexico and New Mexico VA Health Care System, Albuquerque, New Mexico, USA.",2014 Sep;122(9):955-62,10.1289/ehp.1306911
24939871,20140601,article,mesh,"Acrolein,Aminobiphenyl Compounds,Cells, Cultured,DNA Adducts,DNA Repair,Humans,Mutagenesis,Urinary Bladder Neoplasms,Urothelium","chemically induced,cytology,drug effects,genetics,metabolism,toxicity","D019459 Q000187 NY,D000611 Q000633 NN,D019459 Q000166 NN,D018736 Q000378 NY,D001749 Q000378 NN,D000171 Q000633 NN,D000171 Q000378 NY,D000611 Q000378 NY,D019459 Q000378 NY,D001749 Q000139 NY,D001749 Q000235 NY","7102,7847,5284341",NULL,Acrolein- and 4-Aminobiphenyl-DNA adducts in human bladder mucosa and tumor tissue and their mutagenicity in human urothelial cells.,"Tobacco smoke (TS) is a major cause of human bladder cancer (BC). Two components in TS, 4-aminobiphenyl (4-ABP) and acrolein, which also are environmental contaminants, can cause bladder tumor in rat models. Their role in TS related BC has not been forthcoming. To establish the relationship between acrolein and 4-ABP exposure and BC, we analyzed acrolein-deoxyguanosine (dG) and 4-ABP-DNA adducts in normal human urothelial mucosa (NHUM) and bladder tumor tissues (BTT), and measured their mutagenicity in huma",Oncotarget,"Hyun-Wook Lee, Hsiang-Tsui Wang, Mao-wen Weng, Yu Hu, Wei-sheng Chen, David Chou, Yan Liu, Nicholas Donin, William C Huang, Herbert Lepor, Xue-Ru Wu, Hailin Wang, Frederick A Beland, Moon-shong Tang"," Department of Environmental Medicine, New York University School of Medicine, Tuxedo Park, New York.",2014 Jun;5(11):3526-40,10.18632/oncotarget.1954
15900571,20050101,article,"xref,mesh","Acrolein,Animals,Antineoplastic Agents, Alkylating,Biotransformation,Cyclophosphamide,Glycerol,Microsomes, Liver,Protein Binding,Proteins,Rats,Sucrose","chemistry,metabolism","D008862 Q000378 NY,D000171 Q000378 NY,D011506 Q000378 NY,D005990 Q000737 NN,D013395 Q000737 NN,D018906 Q000378 NN,D000171 Q000737 NN,D003520 Q000378 NN,D011506 Q000737 NN,D008862 Q000737 NN","753,795,866,2907,5862,5988,6274,7847,22420,54483113","127700385,128056944,128084797,128368393,128902940,129103178,129726084,129742316",Influence of protein binding on acrolein turnover in vitro by oxazaphosphorines and liver microsomes.,"For a correct determination of acrolein amounts generated in in vitro turnover experiments with oxazaphosphorines, it is necessary to characterize the interaction of acrolein with liver microsomal proteins. Acrolein, a highly reactive metabolite of oxazaphosphorines, readily forms covalent adducts with proteins by electrophilic attack on nucleophiles, such as the sulfhydryl group of cysteine, imidazole group of histidine, and amino group of lysine. The current investigations were mainly directed toward dete",Journal of clinical laboratory analysis,"Frank Baumann, Renate Schmidt, Jens Teichert, Rainer Preiss"," Institute of Clinical Pharmacology, University Leipzig, Germany. baumf@medizin.uni-leipzig.de",2005 Jan;19(3):103-9,10.1002/jcla.20062
17320762,20070315,article,"xref,mesh","Acrolein,Aldehydes,Animals,Apoptosis,CHO Cells,Caspases,Chromatin,Cricetinae,Cricetulus,Cytosol,Environmental Pollutants,Fas-Associated Death Domain Protein,Free Radicals,Mitochondria,Oxidative Stress","chemistry,metabolism,pharmacology","D000171 Q000494 NN,D003600 Q000378 NN,D053200 Q000737 NN,D000171 Q000378 NN,D004785 Q000378 NN,D008928 Q000378 NN,D000447 Q000737 NY,D020169 Q000378 NN,D002843 Q000378 NN,D000171 Q000737 NY","7847,25108681","53787161,53790718,128056944",Activation of the death receptor pathway of apoptosis by the aldehyde acrolein.,"Reactive alpha,beta-unsaturated aldehydes such as acrolein are major components of common environmental pollutants. As a toxic by-product of lipid peroxidation, acrolein has been implicated as a possible mediator of oxidative damage to cells and tissues in a wide variety of disease states, including atherosclerosis and neurodegenerative and pulmonary diseases. Although acrolein can induce apoptotic cell death in various cell types, the biochemical mechanisms are not understood. This study investigates the i",Free radical biology & medicine,"André Tanel, Diana A Averill-Bates"," Département des Sciences Biologiques, TOXEN, Université du Québec à Montréal, CP 8888, Succursale Centre Ville, Montréal, QC, Canada.",2007 Mar;42(6):798-810,10.1016/j.freeradbiomed.2006.12.009
20015449,20100212,article,"xref,mesh","Acrolein,Adenosine Triphosphate,Cell Line, Tumor,Early Growth Response Protein 1,Free Radical Scavengers,HSP70 Heat-Shock Proteins,Heme Oxygenase-1,Humans,Intracellular Signaling Peptides and Proteins,Keratin-18,Keratin-7,Keratin-8,Lung Neoplasms,NAD(P)H Dehydrogenase (Quinone),Nuclear Receptor Subfamily 4, Group A, Member 1,Polyethylene,Protein Carbonylation,Smoke,Vimentin","drug effects,metabolism,toxicity","D051766 Q000378 NN,D018840 Q000378 NN,D051547 Q000378 NN,D000255 Q000378 NN,D016660 Q000378 NN,D014746 Q000378 NN,D057105 Q000378 NN,D053552 Q000378 NN,D053533 Q000378 NN,D020959 Q000633 NN,D047908 Q000378 NN,D050050 Q000187 NN,D000171 Q000633 NY,D053538 Q000378 NN,D016166 Q000378 NY","4650,5852,5957,7847,15126,124341,3772977,5461108,11557333,18666496,71366967,129660564","53789600,53790718,127481953,128056944,128091192,128197848,129533113,129915080",Toxicity of smoke extracts towards A549 lung cells: role of acrolein and suppression by carbonyl scavengers.,"The noxious 3-carbon electrophile acrolein forms on combustion of diverse organic matter including synthetic polymers such as polyethylene. While known to play a key role in smoke inhalation injury (SII), the molecular basis for the pulmonary toxicity of high dose acrolein-containing smoke is unclear. As a result, drug interventions in SII are poorly directed against pathogenetic smoke toxicants such as acrolein. The first aim of this study was to confirm a role for acrolein in the acute toxicity of smoke e",Chemico-biological interactions,"Philip C Burcham, Albert Raso, Colin A Thompson"," Pharmacology and Anaesthesiology Unit, School of Medicine and Pharmacology, The University of Western Australia, Nedlands, WA 6009, Australia. philip.burcham@uwa.edu.au",2010 Feb;183(3):416-24,10.1016/j.cbi.2009.12.006
20302565,20100601,review,"xref,mesh","Acrolein,Alzheimer Disease,Animals,Apoptosis,DNA Adducts,Glutathione Transferase,Humans,Lipid Peroxidation,Mice,Polyamines,Rats","chemistry,enzymology,metabolism,toxicity","D018736 Q000378 NN,D000171 Q000633 NN,D000544 Q000378 NY,D011073 Q000378 NN,D005982 Q000378 NN,D000544 Q000201 NN,D000171 Q000737 NY","5862,7847,10964,124886,156288","128056944,128592556,129192846,129627858,129742316",Potential role of acrolein in neurodegeneration and in Alzheimer's disease.,"Lipid peroxidation leads to the formation of a number of aldehydes by-products, including acrolein. The most abundant aldehydes are 4-hydroxy-nonenal (4-HNE) and malondialdehyde (MDA) while acrolein is the most reactive. In Alzheimer's brain, acrolein was found to be elevated in hippocampus and temporal cortex where oxidative stress is high. In late onset Alzheimer's disease (AD), a 2-fold increase in levels of acrolein/guanosine adducts in nDNA were isolated from the hippocampus of AD as compared to age-ma",Current molecular pharmacology,"Thanh Nam Dang, Madeleine Arseneault, Ven Murthy, Charles Ramassamy"," INRS-Institut Armand-Frappier, 531, boul. des Prairies, H7V 1B7 Laval, Québec, Canada.",2010 Jun;3(2):66-78,NULL
21504135,20100101,article,"xref,mesh","Acrolein,Alzheimer Disease,Cell Line, Tumor,DNA Adducts,DNA Fragmentation,Free Radicals,Humans,Lipid Peroxidation,Neuroblastoma,Oxidative Stress","biosynthesis,drug effects,metabolism,pathology,physiology,toxicity","D005609 Q000633 NN,D009447 Q000378 NY,D053938 Q000187 NN,D000544 Q000378 NY,D000544 Q000473 NN,D009447 Q000473 NN,D018384 Q000187 NY,D018384 Q000502 NN,D018736 Q000096 NN,D015227 Q000187 NY,D000171 Q000633 NY,D015227 Q000502 NN","7847,124886,156288","127350601,128056944,128592556,129192846",Molecular regulations induced by acrolein in neuroblastoma SK-N-SH cells: relevance to Alzheimer's disease.,"Acrolein is the most reactive aldehyde among the by-products of lipid peroxidation. Growing evidence indicates that acrolein may play an important role in the pathogenesis of Alzheimer's disease (AD). In AD, levels of acrolein are significantly higher in hippocampus and temporal cortex regions of the brain. However, little is known about its toxicity in neuronal cells. Using the neuroblastoma cell line SK-N-SH, our results show that acrolein is toxic from 10 μM, but its toxicity does not induce the activati",Journal of Alzheimer's disease : JAD,"Thanh Nam Dang, Madeleine Arseneault, Neven Zarkovic, Georg Waeg, Charles Ramassamy"," INRS-Institut Armand Frappier, Québec, Canada.",2010 Jan;21(4):1197-216,NULL
23770200,20131201,article,mesh,"Acrolein,Aldehyde Reductase,Apoptosis,Blotting, Western,Bronchi,Cells, Cultured,Comet Assay,DNA Damage,Enzyme Inhibitors,Humans,Imidazolidines,RNA, Small Interfering,Reactive Oxygen Species,Respiratory Mucosa,Transfection","adverse effects,drug effects,enzymology,metabolism,pharmacology,toxicity","D020545 Q000201 NY,D017209 Q000187 NN,D001980 Q000201 NN,D017382 Q000378 NN,D000449 Q000378 NY,D001980 Q000187 NN,D020545 Q000187 NY,D004249 Q000187 NN,D017382 Q000009 NN,D000171 Q000633 NY,D004791 Q000494 NN,D048289 Q000494 NN","7847,160024",NULL,Aldose reductase regulates acrolein-induced cytotoxicity in human small airway epithelial cells.,"Aldose reductase (AR), a glucose-metabolizing enzyme, reduces lipid aldehydes and their glutathione conjugates with more than 1000-fold efficiency (Km aldehydes 5-30 µM) relative to glucose. Acrolein, a major endogenous lipid peroxidation product as well as a component of environmental pollutants and cigarette smoke, is known to be involved in various pathologies including atherosclerosis, airway inflammation, COPD, and age-related disorders, but the mechanism of acrolein-induced cytotoxicity is not clearly",Free radical biology & medicine,"Umesh C S Yadav, K V Ramana, Satish K Srivastava"," Department of Biochemistry and Molecular Biology, University of Texas Medical Branch, Galveston, TX 77555, USA. Department of Biochemistry and Molecular Biology, University of Texas Medical Branch, Galveston, TX 77555, USA. Department of Biochemistry and Molecular Biology, University of Texas Medical Branch, Galveston, TX 77555, USA. Electronic address: ssrivast@utmb.edu.",2013 Dec;65(?):15-25,10.1016/j.freeradbiomed.2013.06.008
28084565,20170701,review,mesh,"Acrolein,Animals,Cardiovascular Diseases,Cigarette Smoking,Environmental Pollutants,Humans,Oxidative Stress","adverse effects,chemically induced,epidemiology,metabolism,physiology","D000073865 Q000453 NN,D004785 Q000009 NY,D002318 Q000139 NY,D002318 Q000378 NN,D002318 Q000453 NY,D018384 Q000502 NN,D000171 Q000009 NY,D000073865 Q000009 NN",7847,NULL,Acrolein Can Cause Cardiovascular Disease: A Review.,"Acrolein is a highly reactive unsaturated aldehyde that is formed during the burning of gasoline and diesel fuels, cigarettes, woods and plastics. In addition, acrolein is generated during the cooking or frying of food with fats or oils. Acrolein is also used in the synthesis of many organic chemicals and as a biocide in agricultural and industrial water supply systems. The total emissions of acrolein in the United States from all sources are estimated to be 62,660 tons/year. Acrolein is classified by the E",Cardiovascular toxicology,"Robert J Henning, Giffe T Johnson, Jayme P Coyle, Raymond D Harbison"," Department of Environmental and Occupational Health, College of Public Health, University of South Florida, The James A. Haley Hospital, 13201 Bruce B. Downs Blvd, Tampa, FL, 33612-3805, USA. robert.henning@va.gov. Department of Environmental and Occupational Health, College of Public Health, University of South Florida, The James A. Haley Hospital, 13201 Bruce B. Downs Blvd, Tampa, FL, 33612-3805, USA. Department of Environmental and Occupational Health, College of Public Health, University of South Flori",2017 Jul;17(3):227-236,10.1007/s12012-016-9396-5
28376311,20170801,article,mesh,"Acrolein,Animals,Inflammation,Mice,Mice, Inbred C57BL,Mice, Knockout,PPAR gamma,Receptors, Immunologic,Signal Transduction","deficiency,drug effects,drug therapy,genetics,metabolism,pharmacology","D007249 Q000378 NN,D011971 Q000378 NN,D000171 Q000494 NY,D011971 Q000172 NY,D047495 Q000378 NY,D011971 Q000235 NN,D007249 Q000188 NY,D015398 Q000187 NY",7847,NULL,Contribution of PPARγ in modulation of acrolein-induced inflammatory signaling in gp91(phox) knock-out mice.,"Oxidative stress and inflammation are major contributors to acrolein toxicity. Peroxisome proliferator activated receptor gamma (PPARγ) has antioxidant and anti-inflammatory effects. We investigated the contribution of PPARγ ligand GW1929 to the attenuation of oxidative stress in acrolein-induced insult. Male gp91(phox) knock-out (KO) mice were treated with acrolein (0.5 mg·(kg body mass)(-1) by intraperitoneal injection for 7 days) with or without GW1929 (GW; 0.5 mg·(kg body mass)(-1)·day(-1), orally, for ",Biochemistry and cell biology = Biochimie et biologie cellulaire,"Zivar Yousefipour, Neha Chug, Katarzyna Marek, Alicia Nesbary, Joseph Mathew, Kasturi Ranganna, Mohammad A Newaz"," a College of Pharmacy & Health Sciences, Texas Southern University, Houston, TX 77004, USA. b College of Pharmacy, Chicago State University, Chicago, IL 60503, USA. b College of Pharmacy, Chicago State University, Chicago, IL 60503, USA. b College of Pharmacy, Chicago State University, Chicago, IL 60503, USA. a College of Pharmacy & Health Sciences, Texas Southern University, Houston, TX 77004, USA. a College of Pharmacy & Health Sciences, Texas Southern University, Houston, TX 77004, USA. b College of Pha",2017 Aug;95(4):482-490,10.1139/bcb-2016-0198
28482051,20170801,article,"xref,mesh","Acrolein,Animals,Biomarkers,Endoplasmic Reticulum Stress,Endothelial Cells,Inhalation Exposure,Insulin Resistance,Leukocytes,Male,Mice,Mice, Inbred C57BL,Oxidative Stress,Smoke,Tobacco","administration &amp; dosage,chemistry,metabolism,toxicity,urine","D042783 Q000378 NN,D000171 Q000378 NN,D000171 Q000633 NN,D007962 Q000378 NN,D014026 Q000737 NY,D000171 Q000652 NN,D000171 Q000008 NY,D015415 Q000378 NY",7847,53790718,Biomarkers of Chronic Acrolein Inhalation Exposure in Mice: Implications for Tobacco Product-Induced Toxicity.,"Exposure to tobacco smoke, which contains several harmful and potentially harmful constituents such as acrolein increases cardiovascular disease (CVD) risk. Although high acrolein levels induce pervasive cardiovascular injury, the effects of low-level exposure remain unknown and sensitive biomarkers of acrolein toxicity have not been identified. Identification of such biomarkers is essential to assess the toxicity of acrolein present at low levels in the ambient air or in new tobacco products such as e-ciga",Toxicological sciences : an official journal of the Society of Toxicology,"Daniel J Conklin, Marina V Malovichko, Iris Zeller, Trinath P Das, Tatiana V Krivokhizhina, Blake H Lynch, Pawel Lorkiewicz, Abhinav Agarwal, Nalinie Wickramasinghe, Petra Haberzettl, Srinivas D Sithu, Jasmit Shah, Timothy E O'Toole, Shesh N Rai, Aruni Bhatnagar, Sanjay Srivastava"," American Heart Association - Tobacco Regulation and Addiction Center. Diabetes and Obesity Center. Institute of Molecular Cardiology. Division of Cardiovascular Medicine, Department of Medicine School of Medicine. American Heart Association - Tobacco Regulation and Addiction Center. Diabetes and Obesity Center. Institute of Molecular Cardiology. Division of Cardiovascular Medicine, Department of Medicine School of Medicine. American Heart Association - Tobacco Regulation and Addiction Center. Diabetes and ",2017 Aug;158(2):263-274,10.1093/toxsci/kfx095
